Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
м;61;Псковская область;1;1;837781;Лесная промышленность, деревообработка
м;63;Республика Татарстан(Татарстан);0;1;207660;Искусство, культура
ж;58;Чеченская Республика;1;1;579813;Образовательные учреждения
ж;29;Тюменская область;1;0;0;NULL
м;46;Республика Коми;1;1;800032;Добывающая отрасль
ж;59;Мурманская область;2;1;1253648;ЖКХ
ж;52;Орловская область;2;0;0;NULL
м;63;Республика Хакасия;0;0;0;NULL
ж;82;Тульская область;1;1;1409320;Информационные технологии, системная интеграция, интернет
ж;56;Алтайский край;0;1;1198348;Общественная деятельность, партии, благотворительность, НКО
м;27;Республика Марий Эл;2;1;2445322;Перевозки, логистика, склад, ВЭД
ж;32;Чеченская Республика;2;1;67650;Розничная торговля
ж;16;Астраханская область;2;1;683640;Телекоммуникации, связь
ж;42;Нижегородская область;2;1;1789095;Энергетика
м;78;Приморский край;0;0;0;NULL
ж;17;Санкт - Петербург;0;0;0;NULL
ж;56;Калининградская область;1;0;0;NULL
м;88;Магаданская область;0;1;2642892;Информационные технологии, системная интеграция, интернет
ж;61;Санкт - Петербург;0;0;0;NULL
м;86;Магаданская область;0;0;0;NULL
м;50;Республика Бурятия;2;0;0;NULL
ж;47;Республика Адыгея(Адыгея);2;0;0;NULL
ж;66;Еврейская автономная область;0;1;2452720;Автомобильный бизнес
м;48;Республика Саха(Якутия);1;0;0;NULL
ж;76;Ростовская область;0;0;0;NULL
ж;30;Республика Крым;2;1;646646;Государственные организации
ж;31;Вологодская область;0;0;0;NULL
м;66;Тамбовская область;2;1;62475;Финансовый сектор
м;31;Омская область;1;0;0;NULL
ж;69;Оренбургская область;0;0;0;NULL
м;59;Республика Дагестан;2;1;46921;Услуги для бизнеса
м;48;Омская область;1;1;692064;Искусство, культура
м;14;Тульская область;0;0;0;NULL
м;77;Иркутская область;1;1;1405932;Промышленное оборудование, техника, станки и комплектующие
ж;35;Сахалинская область;2;0;0;NULL
м;48;Кабардино - Балкарская Республика;0;1;683316;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;29;Камчатский край;2;0;0;NULL
м;61;Приморский край;1;1;190848;Услуги для населения
ж;58;Республика Ингушетия;2;1;2253042;Строительство, недвижимость, эксплуатация, проектирование
м;23;Карачаево - Черкесская Республика;1;1;564386;Перевозки, логистика, склад, ВЭД
м;31;Еврейская автономная область;1;0;0;NULL
м;22;Новосибирская область;2;1;1658040;Общественная деятельность, партии, благотворительность, НКО
ж;62;Нижегородская область;2;1;540020;Услуги для бизнеса
м;87;Сахалинская область;1;1;1609724;Товары народного потребления (непищевые)
ж;50;Камчатский край;0;1;18648;Лесная промышленность, деревообработка
м;36;Республика Марий Эл;0;0;0;NULL
м;28;Тамбовская область;1;0;0;NULL
ж;83;Липецкая область;0;0;0;NULL
м;75;Смоленская область;2;1;627003;Телекоммуникации, связь
ж;41;Архангельская область;2;0;0;NULL
ж;34;Воронежская область;2;1;730227;Добывающая отрасль
ж;23;Ханты - Мансийский автономный округ - Югра;1;0;0;NULL
ж;51;Ханты - Мансийский автономный округ - Югра;1;0;0;NULL
м;37;Республика Карелия;0;1;68832;Энергетика
ж;71;Рязанская область;2;1;559980;Гостинницы, рестораны, общепит, кейтеринг
ж;82;Республика Бурятия;1;1;1033475;Розничная торговля
м;52;Республика Дагестан;1;0;0;NULL
ж;77;Республика Алтай;1;0;0;NULL
ж;54;Костромская область;2;0;0;NULL
ж;57;Волгоградская область;1;1;237496;Искусство, культура
ж;43;Камчатский край;1;1;1136071;Строительство, недвижимость, эксплуатация, проектирование
м;19;Республика Калмыкия;2;1;104310;Перевозки, логистика, склад, ВЭД
ж;19;Краснодарский край;2;0;0;NULL
м;83;Чувашская Республика - Чувашия;1;0;0;NULL
ж;45;Ярославская область;2;0;0;NULL
м;23;Архангельская область;2;1;30260;Информационные технологии, системная интеграция, интернет
ж;23;Республика Коми;2;1;1046276;Медицина, фармацевтика, аптеки
ж;18;Кировская область;0;1;109085;Общественная деятельность, партии, благотворительность, НКО
м;88;Орловская область;1;1;1194900;Добывающая отрасль
ж;78;Ростовская область;1;0;0;NULL
м;42;Ульяновская область;2;0;0;NULL
м;84;г.Москва;2;1;133705;Финансовый сектор
м;74;Камчатский край;1;1;177738;Перевозки, логистика, склад, ВЭД
ж;66;Тамбовская область;1;1;130880;ЖКХ
м;23;Новосибирская область;0;1;57310;Информационные технологии, системная интеграция, интернет
м;80;Ханты - Мансийский автономный округ - Югра;0;0;0;NULL
м;79;Республика Бурятия;2;1;204078;Строительство, недвижимость, эксплуатация, проектирование
ж;83;г.Москва;0;0;0;NULL
м;30;Вологодская область;0;1;642002;Лесная промышленность, деревообработка
ж;33;Иркутская область;2;0;0;NULL
м;34;Ульяновская область;1;0;0;NULL
м;65;Омская область;1;1;504184;Услуги для населения
м;27;Республика Крым;0;1;80120;Добывающая отрасль
ж;32;Московская область;2;0;0;NULL
м;27;Костромская область;0;1;25908;Энергетика
м;75;Чувашская Республика - Чувашия;0;0;0;NULL
ж;48;Ямало - Ненецкий автономный округ;0;0;0;NULL
ж;55;Пензенская область;0;1;491192;ЖКХ
м;33;Тульская область;0;1;2577988;Металлургия, металлообработка
ж;65;Кабардино - Балкарская Республика;1;1;719796;Гостинницы, рестораны, общепит, кейтеринг
ж;73;Пензенская область;1;0;0;NULL
м;65;Еврейская автономная область;0;0;0;NULL
м;56;Московская область;2;1;2005432;Образовательные учреждения
м;64;Белгородская область;2;0;0;NULL
м;88;Астраханская область;1;0;0;NULL
ж;63;Владимирская область;0;1;821400;Металлургия, металлообработка
ж;23;Кировская область;2;0;0;NULL
м;72;Пензенская область;1;0;0;NULL
ж;27;Омская область;1;0;0;NULL
м;44;Ямало - Ненецкий автономный округ;0;1;330000;Информационные технологии, системная интеграция, интернет
ж;37;Республика Дагестан;2;0;0;NULL
м;16;Сахалинская область;1;0;0;NULL
м;83;Томская область;0;1;1064637;Информационные технологии, системная интеграция, интернет
ж;17;Республика Саха(Якутия);2;0;0;NULL
м;65;Республика Ингушетия;2;0;0;NULL
ж;56;Республика Алтай;0;1;372848;Тяжелое машиностроение
м;31;Калининградская область;2;0;0;NULL
м;74;Курганская область;0;0;0;NULL
ж;85;Кабардино - Балкарская Республика;2;1;641020;Медицина, фармацевтика, аптеки
м;20;Республика Коми;1;0;0;NULL
м;33;Пензенская область;1;1;1548274;Перевозки, логистика, склад, ВЭД
м;70;Ханты - Мансийский автономный округ - Югра;1;1;1239500;Телекоммуникации, связь
м;71;Новосибирская область;2;0;0;NULL
м;44;Липецкая область;1;0;0;NULL
м;31;Оренбургская область;0;1;1179596;Продукты питания
м;87;Мурманская область;1;0;0;NULL
м;57;Саратовская область;0;0;0;NULL
м;67;Вологодская область;0;1;797742;Гостинницы, рестораны, общепит, кейтеринг
м;49;Кировская область;1;0;0;NULL
ж;34;Кемеровская область;1;1;253287;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;78;Псковская область;1;0;0;NULL
м;80;Чувашская Республика - Чувашия;2;0;0;NULL
ж;62;Ивановская область;2;1;1076502;Медицина, фармацевтика, аптеки
ж;33;Ставропольский край;2;1;570200;Услуги для населения
ж;31;Архангельская область;0;0;0;NULL
ж;78;Тамбовская область;1;1;294518;Строительство, недвижимость, эксплуатация, проектирование
м;28;Астраханская область;0;0;0;NULL
ж;73;Курская область;0;1;1729700;Розничная торговля
м;87;Нижегородская область;2;0;0;NULL
ж;39;Челябинская область;2;1;1117226;Строительство, недвижимость, эксплуатация, проектирование
м;69;Карачаево - Черкесская Республика;1;0;0;NULL
ж;28;Республика Бурятия;0;1;443900;Информационные технологии, системная интеграция, интернет
ж;84;Саратовская область;2;0;0;NULL
м;50;Санкт - Петербург;0;0;0;NULL
м;74;Амурская область;2;1;824391;Государственные организации
ж;88;Республика Башкортостан;1;1;1667392;Металлургия, металлообработка
м;46;Новосибирская область;0;0;0;NULL
ж;33;Курганская область;2;0;0;NULL
м;56;Иные территории, включая город и космодром Байконур;0;1;2370000;Информационные технологии, системная интеграция, интернет
ж;67;Республика Тыва;1;0;0;NULL
м;71;Рязанская область;0;0;0;NULL
ж;30;Воронежская область;0;1;133973;ЖКХ
ж;40;Пензенская область;1;0;0;NULL
ж;38;Краснодарский край;0;1;2269728;Промышленное оборудование, техника, станки и комплектующие
м;26;Красноярский край;1;1;1163826;Химическое производство, удобрения
м;59;Карачаево - Черкесская Республика;0;0;0;NULL
м;18;Сахалинская область;0;1;855190;Строительство, недвижимость, эксплуатация, проектирование
м;71;Республика Хакасия;1;0;0;NULL
м;18;Московская область;0;1;2015040;Услуги для бизнеса
м;48;Курская область;0;0;0;NULL
ж;56;Республика Северная Осетия - Алания;0;0;0;NULL
ж;73;Чукотский автономный округ;0;1;1772960;Финансовый сектор
м;61;Курская область;0;0;0;NULL
м;71;Брянская область;2;0;0;NULL
ж;51;Республика Саха(Якутия);1;0;0;NULL
ж;23;Ульяновская область;2;1;932786;Перевозки, логистика, склад, ВЭД
ж;34;Удмуртская Республика;0;1;48640;Управление многопрофильными активами
м;48;Вологодская область;0;0;0;NULL
м;61;Курская область;1;0;0;NULL
ж;20;Республика Северная Осетия - Алания;0;1;269406;Продукты питания
ж;58;Смоленская область;2;1;2562057;Энергетика
м;53;Республика Северная Осетия - Алания;2;0;0;NULL
ж;17;Хабаровский край;0;1;757554;Телекоммуникации, связь
м;87;Краснодарский край;2;0;0;NULL
м;70;Вологодская область;1;1;935952;Строительство, недвижимость, эксплуатация, проектирование
ж;38;Республика Ингушетия;1;0;0;NULL
ж;26;Омская область;0;0;0;NULL
м;46;Республика Ингушетия;0;1;2039612;Перевозки, логистика, склад, ВЭД
м;49;Тульская область;2;0;0;NULL
ж;59;Ивановская область;2;1;450021;Лесная промышленность, деревообработка
м;75;Еврейская автономная область;0;0;0;NULL
м;73;Амурская область;1;1;186648;Энергетика
ж;22;Воронежская область;0;0;0;NULL
м;76;Челябинская область;0;1;48204;Автомобильный бизнес
м;83;Тверская область;0;0;0;NULL
ж;43;Брянская область;1;0;0;NULL
ж;33;Республика Башкортостан;0;0;0;NULL
ж;32;Республика Алтай;0;0;0;NULL
м;17;Республика Саха(Якутия);0;0;0;NULL
м;65;Ненецкий автономный округ;2;1;1626515;Товары народного потребления (непищевые)
ж;75;Республика Коми;0;1;2204025;ЖКХ
ж;67;Ханты - Мансийский автономный округ - Югра;2;0;0;NULL
ж;64;Республика Адыгея(Адыгея);2;0;0;NULL
м;19;Республика Адыгея(Адыгея);1;1;2519264;Лесная промышленность, деревообработка
ж;44;Тамбовская область;1;1;2327697;Сельское хозяйство
м;34;Ленинградская область;2;1;392340;Телекоммуникации, связь
ж;48;Тюменская область;1;1;470704;Химическое производство, удобрения
ж;42;Сахалинская область;1;0;0;NULL
м;58;Брянская область;0;0;0;NULL
ж;62;Амурская область;1;1;627676;Тяжелое машиностроение
ж;26;Чукотский автономный округ;0;1;666141;Управление многопрофильными активами
ж;64;Республика Хакасия;2;0;0;NULL
ж;52;Московская область;1;1;554961;Химическое производство, удобрения
м;70;Белгородская область;2;0;0;NULL
ж;85;Курганская область;0;1;189553;Медицина, фармацевтика, аптеки
м;79;Тульская область;0;1;645152;Государственные организации
м;32;Самарская область;1;1;13662;Общественная деятельность, партии, благотворительность, НКО
ж;16;Республика Марий Эл;0;1;984601;Автомобильный бизнес
м;43;Карачаево - Черкесская Республика;1;1;1787550;Металлургия, металлообработка
ж;14;Забайкальский край;1;0;0;NULL
ж;75;Республика Мордовия;2;0;0;NULL
ж;21;Волгоградская область;1;1;140796;Металлургия, металлообработка
ж;39;Калининградская область;0;1;211112;Перевозки, логистика, склад, ВЭД
м;85;Ставропольский край;0;0;0;NULL
м;26;Хабаровский край;0;1;120060;Энергетика
ж;58;Омская область;0;1;804384;Государственные организации
м;46;Республика Бурятия;2;0;0;NULL
м;73;Республика Саха(Якутия);0;0;0;NULL
ж;21;Рязанская область;0;0;0;NULL
м;48;Камчатский край;0;0;0;NULL
ж;54;Мурманская область;0;0;0;NULL
м;49;Волгоградская область;1;0;0;NULL
ж;14;Республика Адыгея(Адыгея);1;1;918384;Государственные организации
ж;80;Вологодская область;0;0;0;NULL
ж;32;Республика Адыгея(Адыгея);1;1;411510;Государственные организации
ж;37;Тамбовская область;0;0;0;NULL
м;54;Республика Хакасия;2;1;2499840;Перевозки, логистика, склад, ВЭД
ж;86;Липецкая область;1;0;0;NULL
ж;64;Пензенская область;2;0;0;NULL
м;79;Республика Марий Эл;2;1;375222;Услуги для бизнеса
м;30;Астраханская область;2;1;1259168;Гостинницы, рестораны, общепит, кейтеринг
м;60;Ивановская область;1;0;0;NULL
ж;30;Владимирская область;1;1;394956;Общественная деятельность, партии, благотворительность, НКО
ж;33;Томская область;0;0;0;NULL
м;88;Ярославская область;2;0;0;NULL
м;50;Иркутская область;2;0;0;NULL
ж;36;Кировская область;2;1;671472;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;75;Кабардино - Балкарская Республика;2;1;44070;Услуги для населения
ж;70;Республика Марий Эл;2;1;863610;Лесная промышленность, деревообработка
ж;56;Амурская область;2;0;0;NULL
м;65;Калужская область;0;0;0;NULL
ж;49;Алтайский край;1;0;0;NULL
